data,cidade,temperatura_media,temperatura_min,temperatura_max,choveu,precipitacao_mm,humidade_media,vento_kmh,fonte_api
2021-03-28,Porto,11.5,8.7,14.9,0,0.0,68,12.8,synthetic_weather_api_v1
2021-03-29,Porto,14.1,11.7,15.4,1,2.1,72,19.6,synthetic_weather_api_v1
2021-03-30,Porto,12.0,9.3,15.4,0,0.0,58,16.8,synthetic_weather_api_v1
2021-03-31,Porto,12.0,8.4,16.2,0,0.0,65,12.9,synthetic_weather_api_v1
2021-04-01,Porto,11.2,9.3,13.2,0,0.0,65,19.6,synthetic_weather_api_v1
2021-04-02,Porto,9.3,6.4,12.8,1,8.6,65,16.2,synthetic_weather_api_v1
2021-04-03,Porto,13.5,9.8,17.3,1,8.7,61,2.8,synthetic_weather_api_v1
2021-04-04,Porto,15.2,10.6,17.7,1,9.5,78,12.1,synthetic_weather_api_v1
2021-04-05,Porto,11.8,8.4,14.2,0,0.0,80,19.7,synthetic_weather_api_v1
2021-04-06,Porto,11.7,8.4,15.9,1,7.9,79,15.7,synthetic_weather_api_v1
2021-04-07,Porto,10.2,6.6,12.5,0,0.0,79,20.8,synthetic_weather_api_v1
2021-04-08,Porto,13.9,9.8,18.1,0,0.0,69,14.3,synthetic_weather_api_v1
2021-04-09,Porto,11.1,7.8,15.7,0,0.0,66,15.2,synthetic_weather_api_v1
2021-04-10,Porto,13.5,9.7,16.5,1,1.6,77,5.1,synthetic_weather_api_v1
2021-04-11,Porto,13.2,10.0,17.8,1,2.4,76,15.9,synthetic_weather_api_v1
2021-04-12,Porto,15.7,11.7,18.6,0,0.0,67,13.0,synthetic_weather_api_v1
2021-04-13,Porto,12.4,8.7,15.3,0,0.0,62,15.2,synthetic_weather_api_v1
2021-04-14,Porto,13.9,11.0,17.6,0,0.0,68,8.2,synthetic_weather_api_v1
2021-04-15,Porto,9.6,7.5,11.7,0,0.0,75,2.0,synthetic_weather_api_v1
2021-04-16,Porto,14.1,9.2,18.0,0,0.0,58,12.4,synthetic_weather_api_v1
2021-04-17,Porto,16.0,11.4,21.8,1,15.3,75,15.8,synthetic_weather_api_v1
2021-04-18,Porto,19.1,14.9,23.7,0,0.0,62,18.5,synthetic_weather_api_v1
2021-04-19,Porto,13.5,10.0,17.1,0,0.0,50,17.3,synthetic_weather_api_v1
2021-04-20,Porto,11.6,9.2,14.1,1,9.0,70,11.1,synthetic_weather_api_v1
2021-04-21,Porto,13.3,9.3,17.3,0,0.0,50,4.2,synthetic_weather_api_v1
2021-04-22,Porto,13.4,10.2,16.5,0,0.0,73,8.4,synthetic_weather_api_v1
2021-04-23,Porto,11.3,8.9,14.9,0,0.0,45,5.5,synthetic_weather_api_v1
2021-04-24,Porto,11.9,8.7,14.8,1,10.3,67,16.4,synthetic_weather_api_v1
2021-04-25,Porto,10.6,7.2,14.0,1,3.0,72,7.6,synthetic_weather_api_v1
2021-04-26,Porto,13.5,10.5,16.4,0,0.0,61,18.9,synthetic_weather_api_v1
2021-04-27,Porto,15.5,11.7,20.7,1,3.9,74,11.1,synthetic_weather_api_v1
2021-04-28,Porto,13.1,8.6,17.8,0,0.0,66,14.0,synthetic_weather_api_v1
2021-04-29,Porto,14.2,11.2,18.4,0,0.0,56,13.6,synthetic_weather_api_v1
2021-04-30,Porto,15.1,11.4,19.6,0,0.0,75,15.4,synthetic_weather_api_v1
2021-05-01,Porto,15.4,10.1,19.1,0,0.0,52,16.3,synthetic_weather_api_v1
2021-05-02,Porto,16.9,13.9,20.5,0,0.0,83,14.0,synthetic_weather_api_v1
2021-05-03,Porto,16.7,12.6,20.2,0,0.0,65,7.2,synthetic_weather_api_v1
2021-05-04,Porto,15.5,13.3,18.4,1,4.6,78,9.0,synthetic_weather_api_v1
2021-05-05,Porto,14.1,10.0,16.9,0,0.0,69,6.3,synthetic_weather_api_v1
2021-05-06,Porto,16.4,12.9,20.6,0,0.0,68,12.5,synthetic_weather_api_v1
2021-05-07,Porto,15.1,12.2,20.3,0,0.0,65,15.8,synthetic_weather_api_v1
2021-05-08,Porto,17.4,14.1,21.4,0,0.0,60,11.9,synthetic_weather_api_v1
2021-05-09,Porto,17.1,14.1,20.9,0,0.0,72,15.9,synthetic_weather_api_v1
2021-05-10,Porto,13.8,9.4,16.6,1,2.0,71,12.3,synthetic_weather_api_v1
2021-05-11,Porto,17.1,13.9,20.9,0,0.0,49,12.2,synthetic_weather_api_v1
2021-05-12,Porto,12.1,8.8,16.2,0,0.0,67,11.5,synthetic_weather_api_v1
2021-05-13,Porto,16.9,13.9,20.6,0,0.0,72,17.4,synthetic_weather_api_v1
2021-05-14,Porto,14.3,10.9,18.2,0,0.0,59,11.3,synthetic_weather_api_v1
2021-05-15,Porto,17.0,14.6,18.7,0,0.0,66,26.2,synthetic_weather_api_v1
2021-05-16,Porto,13.5,9.5,18.0,1,6.9,85,11.7,synthetic_weather_api_v1
2021-05-17,Porto,18.0,15.1,20.0,0,0.0,77,13.6,synthetic_weather_api_v1
2021-05-18,Porto,15.6,12.9,17.0,1,5.9,96,11.1,synthetic_weather_api_v1
2021-05-19,Porto,18.6,15.1,22.3,1,5.4,62,6.3,synthetic_weather_api_v1
2021-05-20,Porto,17.2,13.7,20.3,0,0.0,67,10.7,synthetic_weather_api_v1
2021-05-21,Porto,18.2,14.3,23.2,0,0.0,75,17.1,synthetic_weather_api_v1
2021-05-22,Porto,17.1,12.9,21.2,0,0.0,59,20.5,synthetic_weather_api_v1
2021-05-23,Porto,17.5,13.2,20.7,0,0.0,66,14.4,synthetic_weather_api_v1
2021-05-24,Porto,18.0,15.2,20.3,1,5.0,72,13.1,synthetic_weather_api_v1
2021-05-25,Porto,15.5,11.1,19.6,0,0.0,58,12.7,synthetic_weather_api_v1
2021-05-26,Porto,14.8,10.6,19.9,1,5.1,74,22.6,synthetic_weather_api_v1
2021-05-27,Porto,11.8,9.4,13.9,1,7.1,82,19.2,synthetic_weather_api_v1
2021-05-28,Porto,16.3,12.7,19.7,0,0.0,66,14.0,synthetic_weather_api_v1
2021-05-29,Porto,18.7,16.0,19.5,0,0.0,63,6.5,synthetic_weather_api_v1
2021-05-30,Porto,14.2,13.0,18.4,1,3.7,58,13.4,synthetic_weather_api_v1
2021-05-31,Porto,14.2,10.0,16.8,0,0.0,68,16.1,synthetic_weather_api_v1
2021-06-01,Porto,15.9,11.7,20.2,1,1.3,76,17.1,synthetic_weather_api_v1
2021-06-02,Porto,18.0,14.5,22.0,1,16.9,64,9.4,synthetic_weather_api_v1
2021-06-03,Porto,21.0,17.6,23.2,1,4.6,68,10.4,synthetic_weather_api_v1
2021-06-04,Porto,16.7,12.3,22.0,0,0.0,64,10.4,synthetic_weather_api_v1
2021-06-05,Porto,13.5,10.0,14.2,1,12.1,84,16.1,synthetic_weather_api_v1
2021-06-06,Porto,19.7,17.3,23.0,0,0.0,70,16.8,synthetic_weather_api_v1
2021-06-07,Porto,17.3,14.0,20.0,0,0.0,59,14.1,synthetic_weather_api_v1
2021-06-08,Porto,19.3,16.6,24.0,0,0.0,79,11.3,synthetic_weather_api_v1
2021-06-09,Porto,20.2,16.6,22.0,0,0.0,53,18.8,synthetic_weather_api_v1
2021-06-10,Porto,21.0,18.4,23.2,0,0.0,72,13.8,synthetic_weather_api_v1
2021-06-11,Porto,21.4,19.1,24.5,0,0.0,62,13.8,synthetic_weather_api_v1
2021-06-12,Porto,18.1,15.7,21.4,0,0.0,78,21.2,synthetic_weather_api_v1
2021-06-13,Porto,17.6,13.8,21.1,1,14.3,72,20.0,synthetic_weather_api_v1
2021-06-14,Porto,14.4,12.8,16.5,0,0.0,55,13.9,synthetic_weather_api_v1
2021-06-15,Porto,21.9,18.3,25.3,0,0.0,48,15.3,synthetic_weather_api_v1
2021-06-16,Porto,19.8,17.1,21.2,0,0.0,66,3.6,synthetic_weather_api_v1
2021-06-17,Porto,19.4,15.6,21.1,0,0.0,75,2.0,synthetic_weather_api_v1
2021-06-18,Porto,17.7,15.6,19.7,0,0.0,70,23.2,synthetic_weather_api_v1
2021-06-19,Porto,17.9,13.6,22.4,1,3.1,61,15.1,synthetic_weather_api_v1
2021-06-20,Porto,20.0,15.7,23.4,0,0.0,50,8.6,synthetic_weather_api_v1
2021-06-21,Porto,19.9,16.7,24.8,1,8.0,72,10.0,synthetic_weather_api_v1
2021-06-22,Porto,19.1,15.2,21.8,0,0.0,68,10.3,synthetic_weather_api_v1
2021-06-23,Porto,19.9,16.6,23.6,0,0.0,68,23.6,synthetic_weather_api_v1
2021-06-24,Porto,19.1,15.8,21.8,0,0.0,62,18.6,synthetic_weather_api_v1
2021-06-25,Porto,15.2,11.2,19.2,0,0.0,76,20.2,synthetic_weather_api_v1
2021-06-26,Porto,20.0,18.2,22.7,0,0.0,65,15.8,synthetic_weather_api_v1
2021-06-27,Porto,19.3,16.1,23.8,0,0.0,45,12.4,synthetic_weather_api_v1
2021-06-28,Porto,18.0,15.9,21.2,1,6.4,68,21.4,synthetic_weather_api_v1
2021-06-29,Porto,17.3,12.7,22.3,0,0.0,64,16.9,synthetic_weather_api_v1
2021-06-30,Porto,15.8,11.6,19.6,1,3.1,76,17.3,synthetic_weather_api_v1
2021-07-01,Porto,20.0,16.2,25.3,0,0.0,76,20.8,synthetic_weather_api_v1
2021-07-02,Porto,18.5,14.5,23.8,0,0.0,64,13.0,synthetic_weather_api_v1
2021-07-03,Porto,20.7,16.7,24.1,0,0.0,73,17.3,synthetic_weather_api_v1
2021-07-04,Porto,21.3,17.7,23.7,0,0.0,67,13.6,synthetic_weather_api_v1
2021-07-05,Porto,19.2,16.7,21.9,0,0.0,68,7.0,synthetic_weather_api_v1
2021-07-06,Porto,22.6,19.6,27.6,0,0.0,63,11.0,synthetic_weather_api_v1
2021-07-07,Porto,19.4,15.8,22.7,0,0.0,65,25.5,synthetic_weather_api_v1
2021-07-08,Porto,20.2,16.1,25.3,0,0.0,59,16.3,synthetic_weather_api_v1
2021-07-09,Porto,21.8,17.7,24.0,0,0.0,51,14.5,synthetic_weather_api_v1
2021-07-10,Porto,22.0,17.4,25.1,0,0.0,82,6.7,synthetic_weather_api_v1
2021-07-11,Porto,19.3,15.3,24.0,0,0.0,68,17.9,synthetic_weather_api_v1
2021-07-12,Porto,18.5,13.9,22.6,0,0.0,61,13.9,synthetic_weather_api_v1
2021-07-13,Porto,18.9,16.1,20.6,0,0.0,56,17.6,synthetic_weather_api_v1
2021-07-14,Porto,17.9,14.6,21.8,0,0.0,64,16.5,synthetic_weather_api_v1
2021-07-15,Porto,16.2,14.2,19.5,0,0.0,70,18.5,synthetic_weather_api_v1
2021-07-16,Porto,16.4,14.3,18.1,0,0.0,63,4.3,synthetic_weather_api_v1
2021-07-17,Porto,17.7,15.8,19.3,0,0.0,74,20.0,synthetic_weather_api_v1
2021-07-18,Porto,19.7,18.1,22.1,0,0.0,73,8.2,synthetic_weather_api_v1
2021-07-19,Porto,23.6,21.4,24.9,0,0.0,78,12.7,synthetic_weather_api_v1
2021-07-20,Porto,21.5,18.1,26.0,0,0.0,51,10.0,synthetic_weather_api_v1
2021-07-21,Porto,21.0,16.6,23.9,0,0.0,63,7.1,synthetic_weather_api_v1
2021-07-22,Porto,18.9,16.5,22.3,0,0.0,62,14.7,synthetic_weather_api_v1
2021-07-23,Porto,18.5,15.4,20.6,0,0.0,67,17.6,synthetic_weather_api_v1
2021-07-24,Porto,17.1,13.7,20.7,0,0.0,54,7.7,synthetic_weather_api_v1
2021-07-25,Porto,20.1,14.9,24.2,0,0.0,64,16.8,synthetic_weather_api_v1
2021-07-26,Porto,18.7,14.6,20.0,0,0.0,58,11.7,synthetic_weather_api_v1
2021-07-27,Porto,17.5,15.0,19.3,0,0.0,69,15.6,synthetic_weather_api_v1
2021-07-28,Porto,20.4,15.6,24.6,1,11.7,71,20.8,synthetic_weather_api_v1
2021-07-29,Porto,20.9,17.4,24.0,0,0.0,63,13.8,synthetic_weather_api_v1
2021-07-30,Porto,20.1,17.6,25.3,0,0.0,68,10.2,synthetic_weather_api_v1
2021-07-31,Porto,21.0,18.2,25.3,0,0.0,75,2.3,synthetic_weather_api_v1
2021-08-01,Porto,23.3,20.4,25.8,0,0.0,67,13.9,synthetic_weather_api_v1
2021-08-02,Porto,20.9,15.9,25.6,0,0.0,64,6.6,synthetic_weather_api_v1
2021-08-03,Porto,21.3,19.9,21.9,0,0.0,65,19.8,synthetic_weather_api_v1
2021-08-04,Porto,20.1,16.9,23.9,0,0.0,62,12.8,synthetic_weather_api_v1
2021-08-05,Porto,17.6,13.0,21.7,0,0.0,85,8.5,synthetic_weather_api_v1
2021-08-06,Porto,20.2,16.6,24.0,0,0.0,66,15.4,synthetic_weather_api_v1
2021-08-07,Porto,19.1,15.0,22.4,0,0.0,64,5.9,synthetic_weather_api_v1
2021-08-08,Porto,22.2,18.3,25.4,0,0.0,57,11.3,synthetic_weather_api_v1
2021-08-09,Porto,22.6,20.1,25.0,1,4.5,69,6.1,synthetic_weather_api_v1
2021-08-10,Porto,17.9,14.2,21.2,0,0.0,84,5.3,synthetic_weather_api_v1
2021-08-11,Porto,20.8,17.9,23.5,0,0.0,67,23.5,synthetic_weather_api_v1
2021-08-12,Porto,19.6,16.8,22.9,0,0.0,47,17.2,synthetic_weather_api_v1
2021-08-13,Porto,20.2,17.6,22.4,0,0.0,70,7.3,synthetic_weather_api_v1
2021-08-14,Porto,22.3,19.5,26.2,1,5.4,69,14.4,synthetic_weather_api_v1
2021-08-15,Porto,20.5,17.3,23.5,0,0.0,61,18.6,synthetic_weather_api_v1
2021-08-16,Porto,17.9,14.3,21.2,0,0.0,77,16.5,synthetic_weather_api_v1
2021-08-17,Porto,18.0,13.9,21.2,0,0.0,62,18.5,synthetic_weather_api_v1
2021-08-18,Porto,19.0,15.7,21.4,0,0.0,71,22.5,synthetic_weather_api_v1
2021-08-19,Porto,24.5,21.9,26.2,0,0.0,60,8.7,synthetic_weather_api_v1
2021-08-20,Porto,18.5,14.6,22.3,0,0.0,88,11.7,synthetic_weather_api_v1
2021-08-21,Porto,20.5,19.1,23.9,0,0.0,55,15.1,synthetic_weather_api_v1
2021-08-22,Porto,18.4,14.7,22.6,0,0.0,58,17.4,synthetic_weather_api_v1
2021-08-23,Porto,22.6,17.7,26.7,0,0.0,52,14.0,synthetic_weather_api_v1
2021-08-24,Porto,20.9,16.7,23.7,0,0.0,64,11.2,synthetic_weather_api_v1
2021-08-25,Porto,19.6,16.6,22.6,0,0.0,66,4.4,synthetic_weather_api_v1
2021-08-26,Porto,21.3,18.0,25.3,0,0.0,50,15.4,synthetic_weather_api_v1
2021-08-27,Porto,20.4,16.8,24.3,0,0.0,69,12.7,synthetic_weather_api_v1
2021-08-28,Porto,16.6,13.6,20.8,0,0.0,71,18.3,synthetic_weather_api_v1
2021-08-29,Porto,23.2,20.3,26.5,0,0.0,57,16.1,synthetic_weather_api_v1
2021-08-30,Porto,21.4,18.3,24.5,0,0.0,58,11.1,synthetic_weather_api_v1
2021-08-31,Porto,20.4,15.7,23.1,0,0.0,66,8.4,synthetic_weather_api_v1
2021-09-01,Porto,18.4,14.4,22.2,0,0.0,71,16.4,synthetic_weather_api_v1
2021-09-02,Porto,17.9,15.3,21.3,0,0.0,71,8.6,synthetic_weather_api_v1
2021-09-03,Porto,21.6,18.0,25.6,1,8.1,75,18.4,synthetic_weather_api_v1
2021-09-04,Porto,18.1,14.5,20.1,0,0.0,71,23.0,synthetic_weather_api_v1
2021-09-05,Porto,21.7,19.8,25.1,0,0.0,66,4.0,synthetic_weather_api_v1
2021-09-06,Porto,19.6,17.1,20.9,0,0.0,74,10.1,synthetic_weather_api_v1
2021-09-07,Porto,17.1,14.9,18.5,0,0.0,69,11.8,synthetic_weather_api_v1
2021-09-08,Porto,17.2,14.9,20.6,1,7.8,74,14.7,synthetic_weather_api_v1
2021-09-09,Porto,18.3,14.3,22.2,1,10.1,62,8.5,synthetic_weather_api_v1
2021-09-10,Porto,20.9,19.5,23.0,0,0.0,61,8.9,synthetic_weather_api_v1
2021-09-11,Porto,20.7,15.9,24.0,0,0.0,76,7.2,synthetic_weather_api_v1
2021-09-12,Porto,22.0,18.1,24.7,0,0.0,55,14.5,synthetic_weather_api_v1
2021-09-13,Porto,16.9,14.7,17.4,0,0.0,58,9.6,synthetic_weather_api_v1
2021-09-14,Porto,22.7,19.6,24.6,0,0.0,67,8.9,synthetic_weather_api_v1
2021-09-15,Porto,20.7,18.0,22.8,0,0.0,60,12.6,synthetic_weather_api_v1
2021-09-16,Porto,18.7,16.2,21.7,1,3.5,72,12.5,synthetic_weather_api_v1
2021-09-17,Porto,19.3,14.2,24.2,1,5.9,77,14.9,synthetic_weather_api_v1
2021-09-18,Porto,18.1,14.7,20.7,1,5.8,67,7.2,synthetic_weather_api_v1
2021-09-19,Porto,19.8,16.4,24.2,0,0.0,69,15.5,synthetic_weather_api_v1
2021-09-20,Porto,18.9,17.3,21.5,0,0.0,69,15.3,synthetic_weather_api_v1
2021-09-21,Porto,16.6,12.6,19.6,0,0.0,71,7.7,synthetic_weather_api_v1
2021-09-22,Porto,22.3,18.6,27.2,0,0.0,65,10.7,synthetic_weather_api_v1
2021-09-23,Porto,20.1,16.6,23.1,0,0.0,65,7.3,synthetic_weather_api_v1
2021-09-24,Porto,16.5,11.3,20.2,0,0.0,76,11.5,synthetic_weather_api_v1
2021-09-25,Porto,20.3,17.3,23.9,0,0.0,73,9.0,synthetic_weather_api_v1
2021-09-26,Porto,19.6,16.2,25.0,0,0.0,54,9.0,synthetic_weather_api_v1
2021-09-27,Porto,20.3,16.8,22.9,1,1.6,96,15.8,synthetic_weather_api_v1
2021-09-28,Porto,20.1,16.1,22.6,0,0.0,54,22.6,synthetic_weather_api_v1
2021-09-29,Porto,19.6,15.9,22.9,0,0.0,65,16.7,synthetic_weather_api_v1
2021-09-30,Porto,18.7,14.9,20.2,0,0.0,66,7.6,synthetic_weather_api_v1
2021-10-01,Porto,16.3,11.8,18.9,1,6.7,75,19.1,synthetic_weather_api_v1
2021-10-02,Porto,17.8,14.3,20.5,0,0.0,67,17.1,synthetic_weather_api_v1
2021-10-03,Porto,16.6,13.0,21.0,1,2.5,86,15.3,synthetic_weather_api_v1
2021-10-04,Porto,13.3,11.0,15.9,0,0.0,77,8.8,synthetic_weather_api_v1
2021-10-05,Porto,15.0,11.8,18.7,0,0.0,67,16.4,synthetic_weather_api_v1
2021-10-06,Porto,15.9,12.7,19.4,0,0.0,70,14.2,synthetic_weather_api_v1
2021-10-07,Porto,14.9,11.6,18.4,1,3.2,82,14.5,synthetic_weather_api_v1
2021-10-08,Porto,20.6,17.8,23.0,1,6.0,76,20.3,synthetic_weather_api_v1
2021-10-09,Porto,16.2,14.8,19.6,0,0.0,60,9.3,synthetic_weather_api_v1
2021-10-10,Porto,18.1,15.1,21.1,0,0.0,59,8.6,synthetic_weather_api_v1
2021-10-11,Porto,16.8,13.4,19.8,0,0.0,60,11.4,synthetic_weather_api_v1
2021-10-12,Porto,14.7,11.1,19.2,1,2.7,67,8.6,synthetic_weather_api_v1
2021-10-13,Porto,15.9,13.5,18.4,0,0.0,70,17.0,synthetic_weather_api_v1
2021-10-14,Porto,15.7,11.3,18.8,0,0.0,52,14.1,synthetic_weather_api_v1
2021-10-15,Porto,16.2,14.4,19.6,1,2.2,74,14.9,synthetic_weather_api_v1
2021-10-16,Porto,13.1,9.9,16.0,1,3.2,74,17.0,synthetic_weather_api_v1
